ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
149.80624386,1.67325709,1.2939,-22.33,30.11,19,60.0,257176.0,652.0
149.82349942,1.93392184,1.2957,-24.95,30.41,12,114.0,415297.0,468.0
150.71639266,2.41242649,1.3036,-23.65,30.08,12,60.0,735110.0,763.0
149.80099748,2.35837617,1.305,-22.79,30.01,14,77.0,699447.0,742.0
150.70995526,1.98699842,1.3068,-23.25,29.9,23,89.0,454375.0,14.0
150.58948171,2.75861217,1.3094,-22.24,29.96,25,104.0,958577.0,225.0
150.09010031,2.71498435,1.3121,-23.62,30.46,35,158.0,933177.0,41.0
149.58208051,2.75750343,1.316,-23.22,29.94,18,78.0,958252.0,523.0
149.49742799,1.78851585,1.3194,-22.16,29.88,15,72.0,329332.0,500.0
150.28758743,2.00463527,1.3346,-23.43,30.65,18,85.0,465513.0,653.0
150.44582257,2.52933223,1.3366,-22.66,29.74,15,120.0,810869.0,274.0
150.50899672,2.26690579,1.3404,-23.24,30.34,14,75.0,637532.0,579.0
149.63345612,2.00388116,1.3446,-23.22,30.44,21,120.0,465249.0,19.0
149.50220811,2.76644566,1.3451,-22.51,30.02,16,73.0,963290.0,650.0
149.77302833,2.7086912,1.3454,-22.99,30.35,21,123.0,929125.0,309.0
149.94335513,1.820866,1.3459,-22.5,29.81,17,86.0,349841.0,478.0
150.40493898,1.729687,1.3488,-23.95,30.19,21,101.0,292370.0,401.0
149.54432082,2.03106746,1.3504,-22.84,30.05,14,86.0,481439.0,559.0
149.97622184,2.53974613,1.3506,-23.38,29.97,12,123.0,818410.0,232.0
150.42556427,2.08994152,1.3521,-22.68,30.07,12,99.0,519642.0,597.0
150.28628042,1.72493373,1.3528,-22.6,30.03,21,98.0,289508.0,413.0
150.15477636,2.02962311,1.353,-23.92,30.51,22,106.0,478401.0,345.0
149.44180517,2.13165219,1.3541,-23.71,30.07,14,89.0,547336.0,396.0
150.25510723,2.29012035,1.3566,-22.91,30.15,19,85.0,652292.0,244.0
150.18950996,2.17870306,1.3576,-23.38,30.0,13,56.0,579406.0,795.0
150.11161039,1.73785591,1.3588,-23.17,30.38,23,109.0,298865.0,398.0
150.32526507,2.5732069,1.3592,-23.08,30.23,25,147.0,840964.0,112.0
149.57973358,1.8707053,1.363,-22.66,29.71,22,101.0,382082.0,513.0
149.66576387,2.20134594,1.3651,-22.51,30.23,14,59.0,593268.0,743.0
