ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
150.09624905,2.62271693,1.1909,-23.68,30.09,32,79,872325.0,539.0
150.48504931,2.36064647,1.1916,-23.21,29.9,31,96,700997.0,194.0
149.59493257,2.32905301,1.194,-23.47,30.0,32,92,679976.0,382.0
150.72554159,2.76981709,1.1943,-23.11,29.86,32,76,966115.0,186.0
150.07777001,2.03705546,1.1953,-23.69,30.08,38,102,486637.0,137.0
150.35713523,1.97334695,1.1957,-23.65,30.07,66,211,447792.0,39.0
149.53819267,2.27602213,1.1958,-21.93,29.9,36,110,643933.0,486.0
149.89265042,2.26904484,1.1962,-23.34,29.96,42,146,639828.0,95.0
150.34689638,2.48503603,1.1966,-23.38,29.95,29,124,782908.0,267.0
149.53099097,2.09459605,1.1968,-23.67,30.07,46,127,523478.0,141.0
150.34491722,2.74300356,1.1983,-23.41,29.97,31,90,949843.0,178.0
149.91966099,2.40254616,1.1989,-23.34,29.95,29,84,728690.0,573.0
150.21479164,1.90346965,1.1993,-23.57,30.04,40,111,403863.0,432.0
150.46749517,2.06084527,1.1997,-23.42,29.97,42,130,501640.0,158.0
150.31459489,2.28891826,1.2,-23.03,29.93,41,129,652572.0,1.0
149.49370747,2.56961579,1.202,-22.83,30.14,31,90,838982.0,681.0
150.48323667,2.75335731,1.2048,-22.73,30.13,44,113,956292.0,266.0
150.47194295,2.7741344,1.206,-23.52,30.02,28,108,969091.0,252.0
150.68028612,1.99588824,1.2062,-22.59,30.14,21,93,459835.0,502.0
150.15395224,2.27615431,1.2095,-23.42,30.28,17,70,644889.0,694.0
150.25424778,2.70917172,1.2096,-23.38,30.38,61,158,928992.0,51.0
150.41784831,2.55851659,1.2097,-23.26,30.45,43,111,831023.0,222.0
149.75001255,2.00722503,1.2102,-23.07,30.24,49,141,467994.0,0.0
149.69835563,1.94413993,1.2114,-23.55,30.02,35,127,429304.0,351.0
149.47752114,2.69422765,1.2115,-23.04,30.13,28,83,919389.0,444.0
150.15708603,2.06684089,1.2116,-23.55,30.06,45,122,506684.0,159.0
150.57493686,1.94792387,1.2137,-23.66,30.38,51,153,430950.0,79.0
150.01932897,2.21634114,1.2142,-22.77,30.14,21,82,603547.0,631.0
150.26712049,2.46198845,1.2144,-23.34,29.95,35,65,767347.0,245.0
150.40754344,1.80672983,1.2162,-23.08,29.85,44,115,342039.0,197.0
149.82268437,1.65088191,1.2165,-22.55,30.04,16,54,243557.0,739.0
149.47715982,2.58865573,1.2165,-23.07,30.14,29,72,851262.0,17.0
149.77183361,2.16731258,1.2165,-23.12,30.24,28,79,572669.0,747.0
150.06544411,1.74596078,1.2168,-23.57,30.52,30,92,304234.0,208.0
149.78937092,2.405738,1.2198,-22.73,29.93,19,55,730549.0,866.0
150.08517213,2.35733623,1.2235,-23.34,29.95,26,76,699347.0,698.0
