ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id
150.22082616,2.18980785,0.9178,-21.57,9.0,69.0,586522.0,2291.0
150.41224364,2.73737227,0.9184,-23.06,10.0,59.0,946877.0,1772.0
150.20746841,2.28188455,0.9194,-22.81,8.0,57.0,647381.0,1255.0
150.26111222,2.03134082,0.9195,-22.77,9.0,68.0,482409.0,2488.0
150.26444444,1.90015336,0.9195,-22.26,8.0,52.0,400693.0,1768.0
150.20450185,2.05836173,0.9199,-22.69,8.0,87.0,500250.0,2352.0
150.28316336,2.09258971,0.9213,-23.02,11.0,80.0,522091.0,281.0
150.39850614,1.66652386,0.9222,-22.25,8.0,54.0,253285.0,2155.0
150.02383067,2.20321087,0.9232,-24.04,12.0,53.0,597276.0,24.0
149.97842859999997,2.31534392,0.9232,-22.24,28.0,99.0,669509.0,1065.0
150.27784311,2.01622228,0.9238,-21.8,8.0,56.0,472805.0,1950.0
149.95062232,2.35458838,0.9262,-22.18,8.0,79.0,696561.0,50.0
150.03596001,2.21181762,0.9264,-21.38,13.0,71.0,600099.0,10.0
150.22468598,2.23928311,0.9264,-22.26,8.0,56.0,619306.0,2157.0
150.09405357,2.19899872,0.9264,-23.2,11.0,55.0,594198.0,42.0
150.24655713,2.0790776,0.9273,-22.74,8.0,86.0,513660.0,303.0
150.27014636,2.09000147,0.9279,-21.41,9.0,64.0,519517.0,59.0
149.93101706,2.37035947,0.9279999999999999,-22.12,9.0,56.0,706850.0,655.0
150.15210529,2.19542396,0.9279999999999999,-22.64,24.0,84.0,589986.0,1268.0
150.38045351,2.09403994,0.9285,-22.13,9.0,75.0,522090.0,846.0
150.01160899,2.21197201,0.9285,-21.81,8.0,58.0,601018.0,1071.0
150.42648439,2.51566904,0.9288,-22.6,10.0,50.0,803290.0,2532.0
149.90364813,2.33513513,0.929,-22.29,8.0,51.0,683660.0,2333.0
150.23681524,2.07796322,0.9293,-22.74,8.0,72.0,513623.0,510.0
150.04990539,2.2935472000000003,0.9295,-24.01,20.0,77.0,655660.0,35.0
150.23496569999998,1.74396635,0.9296,-22.92,15.0,52.0,302184.0,1232.0
150.05033074,2.30628914,0.9298,-23.04,12.0,56.0,664661.0,165.0
150.20393345,2.10093184,0.93,-23.22,12.0,58.0,527210.0,1272.0
150.00947653,2.37596176,0.93,-22.25,14.0,82.0,711250.0,232.0
150.15820987,2.1901173,0.93,-22.56,19.0,71.0,587138.0,9.0
150.67798549,2.74058775,0.93,-23.82,11.0,55.0,949217.0,1463.0
149.9510386,2.34062934,0.93,-22.62,16.0,59.0,687695.0,1133.0
150.29989564,1.99511599,0.93,-21.98,8.0,61.0,459248.0,2677.0
149.99124398,2.3282115,0.93,-23.08,12.0,79.0,679042.0,1107.0
150.15173234,2.18868711,0.93,-22.81,18.0,73.0,586264.0,1070.0
150.02483213,2.3518522,0.93,-22.55,8.0,51.0,695841.0,1458.0
150.00675371,2.38162113,0.9301,-22.52,9.0,75.0,714747.0,650.0
150.21132892,2.14469589,0.9304,-22.18,8.0,68.0,555483.0,629.0
150.00735472,2.3012373,0.9306,-22.39,9.0,92.0,660177.0,1776.0
150.2151736,2.22357816,0.9308,-20.86,8.0,65.0,608405.0,2572.0
150.07133659,2.63569351,0.9308,-23.16,15.0,55.0,882552.0,1291.0
150.06095141,2.21419419,0.9311,-22.6,15.0,96.0,603004.0,39.0
150.06815478,2.16548541,0.9313,-22.93,8.0,70.0,570851.0,1935.0
150.20520525,2.10360181,0.9313,-22.52,10.0,63.0,528843.0,161.0
150.12986465,2.11087945,0.9319,-23.1,9.0,70.0,534324.0,1945.0
150.04964834,2.21173712,0.9319,-22.58,11.0,53.0,602953.0,44.0
149.51919148,2.26539166,0.9323,-23.14,14.0,75.0,637488.0,1218.0
149.8940368,2.21576634,0.9327,-22.22,13.0,50.0,603127.0,1224.0
149.91666696,2.40857971,0.9327,-22.49,10.0,62.0,732424.0,2589.0
149.65710875,2.23248127,0.9329,-22.42,9.0,67.0,614846.0,626.0
150.43831504,2.15649917,0.9342,-21.62,12.0,55.0,563721.0,1990.0
150.26808592,2.03922602,0.9345,-22.17,8.0,59.0,487414.0,897.0
150.22406342,2.13308735,0.9348,-22.01,9.0,50.0,547944.0,2156.0
149.63553068,2.13668832,0.935,-23.06,9.0,51.0,551951.0,2303.0
149.62734722,2.17991582,0.9354,-22.22,8.0,87.0,579510.0,910.0
150.02608396,2.31886285,0.9355,-23.21,10.0,83.0,673322.0,494.0
149.99943878,2.5087705000000002,0.9358,-22.69,11.0,53.0,798287.0,1764.0
150.10557235,2.29763637,0.9359999999999999,-22.46,8.0,68.0,657977.0,1049.0
150.23498089,2.73652621,0.9359999999999999,-22.92,11.0,55.0,946007.0,1445.0
149.52236793,2.10265165,0.9363,-21.65,8.0,53.0,527298.0,2324.0
149.98778494,2.31570279,0.9374,-23.16,21.0,83.0,671284.0,6.0
150.19485524,2.07344069,0.9375,-23.48,10.0,50.0,509626.0,827.0
150.22746535,2.08316824,0.9381,-22.2,10.0,54.0,516270.0,1756.0
150.29329688,2.0115088,0.9386,-22.8,11.0,60.0,470997.0,230.0
149.65555485,2.25601741,0.9391,-21.96,8.0,109.0,630459.0,833.0
150.02363482,2.2197492000000003,0.9392,-22.03,8.0,80.0,605981.0,21.0
149.63795709,2.06945376,0.9393,-21.47,8.0,55.0,506628.0,932.0
149.85995134,2.1933594,0.9395,-23.15,8.0,73.0,588407.0,1210.0
150.05073615,2.21880433,0.9398,-21.95,18.0,58.0,605704.0,36.0
150.0504983,2.27022743,0.9402,-22.55,8.0,68.0,641016.0,1376.0
150.27549791,2.09063702,0.9404,-22.54,11.0,82.0,520773.0,136.0
149.89827597,2.33066051,0.9404,-23.07,8.0,63.0,680409.0,2285.0
150.21193651,2.06605772,0.9405,-22.8,8.0,68.0,505401.0,1762.0
149.87249379,2.16209936,0.9406,-22.65,12.0,63.0,567905.0,1978.0
149.61832158,2.30168484,0.9407,-21.75,8.0,65.0,659730.0,1265.0
149.95138280000003,2.35717557,0.9408,-22.08,9.0,62.0,698282.0,34.0
150.12101824,2.20829888,0.9412,-21.7,8.0,113.0,598068.0,823.0
150.68124409,2.36212534,0.9415,-20.57,8.0,54.0,701071.0,2312.0
150.28082743,2.02317669,0.9421,-22.58,10.0,64.0,476954.0,2145.0
149.86710496,2.24678927,0.9422,-22.15,9.0,64.0,624549.0,2129.0
150.01402236,2.19894573,0.9422,-22.04,18.0,64.0,592528.0,8.0
150.0299898,2.20355558,0.9427,-21.71,19.0,73.0,595108.0,3.0
149.59870503,2.13715634,0.9427,-21.83,8.0,81.0,549956.0,821.0
150.28414233,1.87525334,0.9434,-22.6,9.0,61.0,385076.0,825.0
149.64686075,2.17187678,0.9434,-21.94,9.0,85.0,573758.0,487.0
150.01894533,2.19035813,0.9439,-21.94,21.0,102.0,586469.0,1462.0
149.50032112,2.24702965,0.9441,-21.95,10.0,53.0,624971.0,248.0
150.00698301,2.16128759,0.9443,-22.53,15.0,88.0,566981.0,31.0
150.02981877,2.20741551,0.9447,-22.99,16.0,81.0,598223.0,1058.0
150.14635029,2.69213013,0.9455,-23.31,10.0,54.0,919377.0,1976.0
150.41163905,1.8519238,0.9458,-21.52,13.0,57.0,369137.0,1072.0
149.96144554,2.34941556,0.9465,-23.19,13.0,77.0,694093.0,1131.0
150.27329913,2.02551372,0.9468,-22.23,8.0,63.0,478423.0,838.0
150.32087275,2.04209609,0.9471,-21.15,11.0,63.0,488045.0,2327.0
149.5103104,2.26011034,0.9472,-23.03,10.0,61.0,634563.0,1401.0
149.99025259,2.33668773,0.9473,-23.15,9.0,61.0,685395.0,1761.0
150.70192759999998,2.4177172000000002,0.9477,-21.4,10.0,60.0,737283.0,901.0
150.12452017,2.71596829,0.9478,-21.1,8.0,68.0,932645.0,2685.0
150.53863442,2.13873986,0.9479,-23.16,8.0,58.0,552641.0,1616.0
149.6770034,2.35467837,0.9481,-21.71,9.0,53.0,696432.0,2435.0
