ra,dec,redshift,brightness,LR,gal_id,cluster_id
150.19211926,1.71841049,0.91,-20.89,29.02,285199.0,6.0
150.23317315,1.76404074,0.9104,-21.45,29.37,313556.0,6.0
150.25757736,1.7527924,0.912,-20.82,29.31,306396.0,6.0
150.26979208,1.70912361,0.91,-21.76,29.32,279369.0,6.0
150.25491837,1.81716524,0.9121,-22.13,29.97,347571.0,6.0
150.26540239,1.80662829,0.9104,-20.8,29.52,340614.0,6.0
150.19027426,1.73823378,0.9143,-21.43,29.37,298050.0,6.0
150.21801071,1.75841099,0.9145,-21.33,29.33,310127.0,6.0
150.23332247,1.76011342,0.9136,-22.77,30.23,311817.0,6.0
150.19383849,1.82099769,0.9133,-23.18,29.88,351753.0,6.0
150.24142726,1.7726313,0.9139,-19.67,28.75,318290.0,6.0
150.26734141,1.82167171,0.9146,-21.1,29.27,350403.0,6.0
150.17773552,1.75474123,0.9167,-21.97,29.56,308329.0,6.0
150.27933743,1.70547852,0.9162,-20.93,29.31,276896.0,6.0
150.2195083,1.79427496,0.9173,-19.89,28.62,332609.0,6.0
150.27237752,1.76567078,0.9175,-19.64,28.45,313827.0,6.0
150.27258145,1.79199862,0.9153,-21.32,29.16,331314.0,6.0
150.24583877,1.76340096,0.92,-21.4,29.31,312891.0,6.0
150.26275258,1.73251438,0.9191,-22.41,29.97,294958.0,6.0
150.24374766,1.83435396,0.9182,-19.66,28.76,358032.0,6.0
150.23003441,1.75013259,0.923,-20.26,28.69,304316.0,6.0
150.23911785,1.74169113,0.923,-20.93,29.39,299670.0,6.0
150.2508862,1.71020735,0.923,-21.28,29.55,280621.0,6.0
150.26252239,1.73085484,0.9218,-21.23,29.49,293473.0,6.0
150.24254524,1.77425974,0.9219,-21.69,29.29,319830.0,6.0
150.24300322,1.76475709,0.921,-22.62,29.66,313376.0,6.0
150.25739556,1.76918911,0.9226,-22.05,29.45,317415.0,6.0
150.2446224,1.76335996,0.9237,-21.96,29.89,314133.0,6.0
150.25521411,1.7145373,0.9237,-22.25,29.53,283550.0,6.0
150.20610834,1.7496599,0.9259,-20.07,28.9,304327.0,6.0
150.18715432,2.04406361,0.82,-20.25,28.96,490534.0,7.0
150.14814744,2.0626181,0.8204,-20.5,29.65,502157.0,7.0
150.21202943,2.03635869,0.8207,-19.71,28.63,484065.0,7.0
150.27293121,2.03852054,0.8211,-21.41,29.48,485802.0,7.0
150.23398115,2.12602735,0.8211,-20.95,29.37,542210.0,7.0
150.15258792,2.03685793,0.8226,-21.05,29.32,485012.0,7.0
150.2079943,2.03801234,0.8233,-19.76,28.71,485363.0,7.0
150.20994297,2.07743362,0.8232,-21.05,29.13,512287.0,7.0
150.23805717,2.06224898,0.8237,-20.7,28.89,501299.0,7.0
150.27431641,2.09362,0.8227,-19.64,28.82,521099.0,7.0
150.15094065,2.06768154,0.8247,-21.49,29.89,505969.0,7.0
150.19635266,2.13073688,0.826,-22.63,29.96,547318.0,7.0
150.23311885,2.00631266,0.824,-19.71,28.66,465690.0,7.0
150.23834722,2.01298271,0.8247,-20.38,28.95,470790.0,7.0
150.22328349,2.05923435,0.8252,-20.91,28.96,499513.0,7.0
150.21184643,2.1237784,0.8271,-20.27,28.81,540909.0,7.0
150.22781131,2.06430827,0.8274,-21.02,29.16,502732.0,7.0
150.16239392,2.0373981,0.831,-19.56,28.57,484930.0,7.0
150.17888605,2.04116563,0.831,-22.48,29.6,489040.0,7.0
150.19457972,2.05124854,0.8302,-21.94,29.68,495479.0,7.0
150.19424127,2.05337046,0.83,-20.17,29.16,494952.0,7.0
