ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
150.25146679,2.70474395,1.2896,-22.79,29.95,17,73,925669.0,224.0
149.69660381,2.69493011,1.2918,-22.1,29.79,10,41,919896.0,685.0
150.2506591,1.75222438,1.2936,-23.05,29.78,9,41,307553.0,1025.0
149.94653916,2.66313341,1.2941,-21.98,29.8,19,61,898248.0,200.0
149.82027585,2.04778837,1.2948,-22.62,30.2,8,41,492224.0,123.0
149.95418144,2.54360311,1.2961,-22.89,30.09,13,42,820394.0,492.0
150.49568293,2.58435886,1.2987,-22.15,29.93,9,44,847312.0,920.0
149.73698431,2.74550133,1.3008,-22.6,29.73,10,44,950493.0,86.0
150.42730026,2.69866777,1.302,-21.61,29.56,10,48,921094.0,377.0
149.7139234,1.77361803,1.3104,-21.97,29.87,9,40,319716.0,871.0
149.87350451,2.66850897,1.3106,-23.03,30.37,9,44,901921.0,885.0
150.09010031,2.71498435,1.3121,-23.62,30.46,14,57,933177.0,237.0
150.36354079,1.72582319,1.3155,-21.12,29.24,8,40,289274.0,963.0
150.45224134,2.73718454,1.3187,-23.6,30.04,11,53,946503.0,391.0
149.48202029,2.67806059,1.3214,-21.2,29.29,9,41,907570.0,1007.0
149.8054113,1.87454461,1.3292,-23.08,30.18,8,45,384632.0,970.0
149.66191941,1.82700632,1.3315,-22.33,29.76,11,52,354184.0,609.0
150.13249146,1.73329133,1.3322,-20.79,29.13,10,44,293920.0,84.0
149.92728848,2.66025057,1.337,-22.45,29.59,11,62,895774.0,264.0
149.7623485,2.72228155,1.3375,-20.62,28.96,9,45,936208.0,964.0
150.20008315,2.56192563,1.3396,-25.06,30.62,12,44,834346.0,54.0
149.98438567,2.67015397,1.3419,-23.23,30.51,12,59,902618.0,222.0
150.10114539,2.70645391,1.3432,-23.12,29.96,12,49,927298.0,218.0
150.3424576,1.76051301,1.3438,-22.24,29.89,9,40,310993.0,104.0
149.57143637,2.01181256,1.3462,-22.56,30.13,8,41,469499.0,736.0
150.1909865,1.85469805,1.3496,-23.18,30.11,12,44,371989.0,429.0
