ra,dec,redshift,brightness,richness,total_N,LR,gal_id,doppler_velocity,cluster_id
149.63553068,2.13668832,0.935,-23.06,11,64,29.9,551951.0,173410.40065659827,1085
149.62734722,2.17991582,0.9354,-22.22,8,79,29.5,579510.0,173451.6288483597,752
150.02608396,2.31886285,0.9355,-23.21,9,87,29.89,673322.0,173461.9330245738,433
150.16321959,2.19078002,0.9357,-22.32,15,63,29.54,586944.0,173482.53793198575,967
150.23498089,2.73652621,0.936,-22.92,11,54,30.49,946007.0,173513.43668282358,1288
149.93395559,2.34074752,0.9369,-22.18,9,63,29.48,687281.0,173606.0709792791,1049
149.98778494,2.31570279,0.9374,-23.16,25,98,29.87,671284.0,173657.49435046135,4
150.19485524,2.07344069,0.9375,-23.48,8,81,29.99,509626.0,173667.77558751026,623
150.17213096,2.18647046,0.9391,-19.72,11,58,28.48,582567.0,173832.11971101034,2072
149.65555485,2.25601741,0.9391,-21.96,8,97,29.91,630459.0,173832.11971101034,622
150.02363482,2.2197492000000003,0.9392,-22.03,9,54,29.43,605981.0,173842.38149705768,1310
150.15953539,2.17595152,0.9394,-21.16,15,54,29.08,576202.0,173862.90164082547,47
149.85995134,2.1933594,0.9395,-23.15,9,51,29.87,588407.0,173873.15999884586,46
149.91195029,2.64052096,0.94,-21.32,8,54,29.35,883741.0,173924.43465631033,2015
150.27549791,2.09063702,0.9404,-22.54,8,57,29.62,520773.0,173965.43383210857,1181
150.21193651,2.06605772,0.9405,-22.8,9,50,29.73,505401.0,173975.68077311578,1365
150.20502645,2.1173569,0.9412,-21.94,11,71,29.77,538263.0,174047.37742398144,280
150.28082743,2.02317669,0.9421,-22.58,12,60,30.37,476954.0,174139.47677166338,181
149.86710496,2.24678927,0.9422,-22.15,9,55,29.47,624549.0,174149.70433810263,640
150.01402236,2.19894573,0.9422,-22.04,20,64,29.42,592528.0,174149.70433810263,6
149.59870503,2.13715634,0.9427,-21.83,8,71,29.48,549956.0,174200.82509826228,641
150.0299898,2.20355558,0.9427,-21.71,23,79,29.3,595108.0,174200.82509826228,1901
150.24629201,1.73690471,0.9433,-21.74,9,54,29.61,297421.0,174262.13247168311,964
150.28414233,1.87525334,0.9434,-22.6,9,52,30.16,385076.0,174272.34638795792,1554
150.01894533,2.19035813,0.9439,-21.94,21,90,29.79,586469.0,174323.39892415906,19
150.00698301,2.16128759,0.9443,-22.53,15,73,30.12,566981.0,174364.22050785754,23
150.02981877,2.20741551,0.9447,-22.99,15,69,29.81,598223.0,174405.023928321,9
150.0294332,2.6519267,0.9452,-22.89,8,70,29.77,891891.0,174456.0026763711,1571
