ra,dec,redshift,brightness,richness,total_N,LR,gal_id,doppler_velocity,cluster_id
150.59117781,2.14354927,0.8502,-23.28,8,52.0,29.92,556748.0,164239.1281834251,2422.0
150.19729085,2.28626461,0.8513,-21.82,9,52.0,29.64,651083.0,164363.79203227814,2564.0
150.20485523,2.23672188,0.8526,-22.14,10,70.0,29.45,618262.0,164510.9219637879,2688.0
150.16879738,2.3154702,0.8534,-22.78,10,58.0,29.71,669409.0,164601.35587988957,2563.0
150.34318936,1.88859884,0.8559,-21.61,9,56.0,29.44,393550.0,164883.43463384657,1612.0
149.77061105,2.68677029,0.8571,-22.84,8,54.0,29.75,914342.0,165018.54924606133,2791.0
150.44935397,2.13758527,0.8591,-22.52,10,77.0,29.9,551717.0,165243.3330817483,1172.0
149.61107919999998,2.32134173,0.8592,-22.47,9,66.0,29.87,673851.0,165254.55893206323,2329.0
150.50934232,2.13178287,0.8597,-23.09,11,94.0,29.84,547691.0,165310.66914606694,2359.0
150.43662228,1.96620848,0.86,-22.96,18,61.0,30.17,443074.0,165344.32005040807,1228.0
150.45340362,2.14294435,0.8613,-22.76,20,70.0,29.71,555663.0,165490.0088151845,1173.0
149.77985064,2.73180495,0.8618,-21.99,8,61.0,29.7,943099.0,165545.98597006052,2792.0
150.2148294,2.28668901,0.8623,-22.99,18,85.0,29.9,651583.0,165601.93149821382,1076.0
149.65692093,2.36009027,0.8637,-21.77,11,51.0,29.7,700316.0,165758.41089945214,2369.0
149.47364251,2.26618958,0.8655,-22.94,9,50.0,30.08,638421.0,165959.23533222004,2084.0
150.08122285,2.53637563,0.8662,-21.1,10,64.0,29.06,815982.0,166037.2235124751,66.0
150.35656042,2.11754443,0.8673,-22.66,8,62.0,29.67,538015.0,166159.6518684071,856.0
149.91141376,2.68277414,0.8692,-22.48,10,84.0,29.73,911827.0,166370.76120288842,1436.0
149.90622652,2.73392016,0.8699,-22.75,8,52.0,29.8,945157.0,166448.42425782664,2331.0
150.21508299,2.28251444,0.8699,-22.65,12,88.0,29.78,648904.0,166448.42425782664,1147.0
150.08616821,2.53138475,0.8703,-23.97,12,55.0,30.18,813654.0,166492.77560559896,1065.0
149.65259746,2.24956512,0.8703,-23.32,8,55.0,29.93,627633.0,166492.77560559896,1878.0
150.54220983,2.48667963,0.8705,-22.61,12,50.0,29.64,783666.0,166514.9437726398,1349.0
149.91612202,2.6882408,0.8718,-22.26,11,86.0,29.92,914574.0,166658.91497354474,1178.0
150.42768087,2.13139082,0.8721,-23.36,8,56.0,29.94,547997.0,166692.10911802744,590.0
150.24211401,1.79995156,0.8734,-21.74,8,51.0,29.42,336767.0,166835.82066740392,1919.0
150.53737009999998,2.66977258,0.8736,-23.03,15,57.0,29.81,902760.0,166857.91143828648,1201.0
150.54677841,2.19429424,0.8744,-23.75,10,51.0,30.1,589836.0,166946.22470997734,1473.0
150.08115379,2.53180194,0.8746,-21.75,10,90.0,29.3,813956.0,166968.2905814785,10.0
150.21750397,2.40031657,0.8748,-23.4,11,50.0,29.96,728559.0,166990.35147702522,1075.0
150.22816467,2.22563896,0.8751,-22.42,8,55.0,29.89,610905.0,167023.43349328835,2076.0
