ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id
150.44605913,1.80504436,1.2144,-22.29,8.0,81.0,340667.0,6103.0
149.82345028,2.02823822,1.2159,-23.3,8.0,70.0,480952.0,6116.0
149.71325443,1.93126871,1.216,-23.39,11.0,75.0,420570.0,5040.0
150.14135691,2.04561555,1.2166,-22.45,8.0,62.0,490835.0,6074.0
150.31241325,1.97430514,1.2167,-22.86,8.0,70.0,446854.0,4212.0
150.36086711,1.93151807,1.2167,-22.86,12.0,92.0,420536.0,4131.0
149.64414065,2.12539738,1.2167,-22.28,12.0,54.0,542677.0,4346.0
150.06544411,1.74596078,1.2168,-23.57,11.0,60.0,304234.0,3954.0
150.0155073,2.62142997,1.2174,-23.22,8.0,52.0,871413.0,3584.0
149.84662986,2.06557754,1.2178,-21.93,10.0,64.0,503969.0,5062.0
149.86927632,2.06560208,1.2181,-23.63,12.0,81.0,505112.0,3830.0
149.82242281,2.07152419,1.2184,-21.72,9.0,66.0,508933.0,6359.0
149.91036862,2.06716528,1.2187,-22.67,10.0,50.0,505180.0,3931.0
150.33450034,2.57300209,1.2189,-22.33,12.0,69.0,839620.0,5171.0
149.86617880000003,2.03687714,1.219,-21.0,10.0,66.0,484626.0,3832.0
149.81391946,2.10875263,1.2194,-21.29,11.0,59.0,530952.0,7098.0
149.6343312,2.07648002,1.2213,-22.26,11.0,94.0,510768.0,327.0
150.22630317,2.11318949,1.222,-23.56,12.0,67.0,535907.0,4217.0
149.85279745,2.1247748,1.2222,-23.13,8.0,56.0,542444.0,1655.0
149.75271004,1.9712116000000002,1.2222,-21.43,8.0,59.0,445296.0,6469.0
149.74428825,1.99949307,1.2223,-22.71,10.0,90.0,462543.0,4059.0
150.05510635,1.73412444,1.2228,-22.67,14.0,65.0,295522.0,354.0
150.45984281,2.07169389,1.2229999999999999,-21.39,9.0,52.0,507972.0,5586.0
150.25159311,2.75425457,1.2232,-22.9,8.0,56.0,956039.0,6473.0
149.81664628,2.10034794,1.2233,-21.74,11.0,53.0,525849.0,1658.0
149.73854505,2.02789779,1.2236,-22.26,8.0,69.0,479426.0,6847.0
149.69832141,2.0195228,1.2238,-21.9,12.0,77.0,474371.0,6341.0
150.16873729,1.99960077,1.2244,-22.39,8.0,67.0,462140.0,6208.0
149.87088326,2.05561911,1.2246,-21.6,15.0,89.0,497332.0,1038.0
149.80462307,2.27792026,1.2247,-22.48,8.0,63.0,645785.0,5554.0
149.47369064,2.16431261,1.225,-21.22,8.0,52.0,568362.0,7097.0
150.38219912,1.92836169,1.2256,-22.19,11.0,63.0,417745.0,4167.0
149.89718305,2.06734898,1.2256,-20.69,12.0,59.0,504337.0,6210.0
149.66744357,2.02560139,1.2263,-21.51,10.0,75.0,477938.0,6769.0
149.45626617,2.15650629,1.2278,-23.24,10.0,63.0,564343.0,6108.0
150.18091027,2.36217448,1.2287,-22.32,8.0,53.0,701696.0,5044.0
150.41744258,1.81278087,1.2291,-22.23,8.0,60.0,344403.0,7094.0
150.49968536,2.00714638,1.2297,-21.94,11.0,58.0,467375.0,1635.0
149.86783137,2.05367206,1.2303,-21.38,8.0,63.0,495723.0,1294.0
150.00273521,2.67487618,1.2309,-23.85,8.0,63.0,907103.0,1297.0
149.64597339,2.0761507,1.2322,-22.35,8.0,76.0,510977.0,329.0
149.52931825,1.91317834,1.2325,-22.85,15.0,74.0,408898.0,3812.0
149.67604016,2.03346291,1.2332,-21.49,8.0,68.0,482686.0,1646.0
149.69491732,2.01981847,1.2338,-22.58,12.0,51.0,474824.0,3944.0
150.48824223,2.01403905,1.2339,-23.06,8.0,86.0,472152.0,2313.0
149.77145023,2.0436977,1.2346,-21.78,10.0,52.0,489924.0,4736.0
149.91279129,2.06445247,1.2357,-22.11,11.0,63.0,502672.0,3968.0
150.56205449,2.69959897,1.2363,-21.82,9.0,62.0,922615.0,7111.0
150.54722923,2.12402333,1.2364,-22.47,8.0,52.0,541664.0,6072.0
149.83226502,2.17014783,1.2369,-23.09,9.0,58.0,573322.0,4734.0
150.51177676,1.97623028,1.237,-21.87,13.0,77.0,448431.0,5450.0
150.58351936,1.97248717,1.2374,-22.37,11.0,53.0,445787.0,2181.0
149.51772807,2.09455272,1.2374,-23.28,8.0,61.0,523933.0,6130.0
149.61049033,2.08100799,1.2381,-22.0,11.0,64.0,514013.0,1323.0
150.31619153,2.54877033,1.2392,-22.66,13.0,73.0,823420.0,1765.0
149.70494735,2.18355481,1.2395,-22.85,8.0,56.0,582360.0,5046.0
149.62806184,2.05925571,1.24,-21.89,9.0,98.0,499767.0,4014.0
150.27074364,2.7039828999999997,1.2402,-23.22,9.0,61.0,925476.0,1320.0
149.648043,2.13387334,1.2404,-22.35,11.0,61.0,548029.0,2199.0
150.22173123,2.35899736,1.2404,-22.61,9.0,52.0,699799.0,3088.0
