,cluster_id,ra,dec,redshift,group,Ngal,type
10154,562419,150.216092,2.15434,0.9028,4186,5,satellite
10155,562424,149.423451,2.155852,0.968,4987,3,satellite
10156,562427,150.185185,2.155263,0.5978,1526,2,satellite
10157,562486,149.931974,2.155734,0.7302,2549,2,satellite
10160,562540,150.011744,2.154083,0.6744,2151,2,satellite
10162,562634,150.197146,2.154776,0.6622,1909,27,satellite
10164,562667,150.50593,2.154861,0.7952,2950,5,satellite
10166,562727,150.116305,2.15517,0.9512,4476,17,satellite
10168,562761,150.270122,2.155906,0.9114,4298,4,satellite
10169,562785,149.887616,2.155798,0.6291,1771,3,satellite
10170,562800,149.83651,2.155681,0.9405,4650,7,satellite
10171,562832,150.074074,2.156132,0.6622,2043,4,satellite
10172,562872,150.480181,2.15667,1.0678,5826,9,satellite
10178,562951,149.431982,2.155411,0.6956,2280,7,satellite
10181,562991,149.999652,2.156548,0.9219,3455,121,satellite
10182,563029,150.291313,2.156372,0.6689,1959,5,satellite
10183,563084,149.992687,2.154289,0.8304,3247,10,satellite
10187,563310,150.093895,2.155731,0.7175,2441,18,satellite
10189,563345,149.845562,2.15609,0.3457,379,157,satellite
10191,563418,150.472454,2.154365,0.3711,513,7,satellite
10196,563475,149.815981,2.154969,0.388,605,2,satellite
10197,563520,149.454978,2.156959,1.1403,6460,2,satellite
10199,563529,149.544474,2.157485,1.0925,6162,2,satellite
10200,563544,149.59325,2.157026,0.7061,2437,3,satellite
10202,563586,150.666883,2.157275,0.7923,2951,4,satellite
10203,563633,150.472853,2.156363,1.1484,6705,4,satellite
10204,563721,150.438315,2.156499,0.9342,4477,5,satellite
10206,563752,149.968177,2.158447,1.1526,6767,3,satellite
10208,563787,149.637675,2.157168,0.9552,4562,37,satellite
10213,563914,149.64224,2.157768,0.957,4562,37,satellite
10214,563950,150.0869,2.157898,1.0884,5960,5,satellite
10216,563959,150.055598,2.15776,0.9422,4357,15,satellite
10217,563987,150.726885,2.158083,1.0535,5827,10,satellite
10219,564033,149.828669,2.157117,0.8567,3741,4,satellite
10220,564058,150.743585,2.15761,1.0508,5827,10,satellite
10222,564137,150.156103,2.156529,0.3325,380,15,satellite
10225,564338,150.22903,2.157409,0.6706,2109,8,satellite
10226,564353,150.189975,2.155338,0.6686,1909,27,satellite
10227,564421,149.711894,2.155139,0.6803,2186,5,satellite
10229,564465,149.492946,2.157362,0.1148,8,11,satellite
10231,564531,149.707986,2.156177,0.6202,1770,5,satellite
10234,564597,150.059103,2.159168,0.9167,4357,15,satellite
10236,564666,150.748696,2.158845,1.0585,5827,10,satellite
10241,564853,150.00993,2.158802,0.825,3247,10,satellite
10242,564884,149.578091,2.159566,0.9918,5321,2,satellite
10245,564994,149.839342,2.158687,0.856,3741,4,satellite
10247,565089,149.827234,2.158981,0.3623,379,157,satellite
10249,565137,149.57703,2.15949,0.962,4719,14,satellite
10250,565186,149.718487,2.15963,0.9335,4651,33,satellite
10252,565244,149.819499,2.159026,1.106,6075,5,satellite
10253,565273,149.836612,2.157447,0.9437,4650,7,satellite
10258,565370,150.181275,2.157798,0.6717,1909,27,satellite
10260,565421,150.663567,2.160345,1.1786,7053,2,satellite
10267,565598,149.902139,2.157358,0.3101,264,6,satellite
10268,565638,150.471874,2.159263,1.1834,7052,2,satellite
10270,565776,149.884798,2.160409,0.9527,4414,28,satellite
10275,565891,150.585682,2.158688,0.5123,1160,26,satellite
10276,565902,150.496811,2.160337,0.8379,3531,2,satellite
10278,565944,149.873679,2.161254,0.9473,4414,28,satellite
10280,566091,150.473464,2.160809,0.9093,4299,5,satellite
10283,566136,150.150792,2.161088,1.1315,6409,4,satellite
10286,566219,150.576662,2.157332,0.5268,1160,26,satellite
10287,566223,149.440935,2.15952,0.6951,2280,7,satellite
